user_id,signup_month,month,spend,treatment
0,8,1,511,True
0,8,2,471,True
0,8,3,465,True
0,8,4,479,True
0,8,5,429,True
0,8,6,409,True
0,8,7,407,True
0,8,8,418,True
0,8,9,511,True
0,8,10,497,True
0,8,11,451,True
0,8,12,483,True
1,0,1,467,False
1,0,2,486,False
1,0,3,440,False
1,0,4,409,False
1,0,5,435,False
1,0,6,455,False
1,0,7,441,False
1,0,8,400,False
1,0,9,433,False
1,0,10,370,False
1,0,11,379,False
1,0,12,384,False
2,0,1,484,False
2,0,2,476,False
2,0,3,446,False
2,0,4,424,False
2,0,5,468,False
2,0,6,429,False
2,0,7,460,False
2,0,8,407,False
2,0,9,433,False
2,0,10,412,False
2,0,11,378,False
2,0,12,400,False
3,2,1,489,True
3,2,2,453,True
3,2,3,557,True
3,2,4,544,True
3,2,5,512,True
3,2,6,542,True
3,2,7,517,True
3,2,8,483,True
3,2,9,503,True
3,2,10,502,True
3,2,11,489,True
3,2,12,487,True
4,0,1,492,False
4,0,2,493,False
4,0,3,465,False
4,0,4,499,False
4,0,5,465,False
4,0,6,473,False
4,0,7,411,False
4,0,8,401,False
4,0,9,433,False
4,0,10,390,False
4,0,11,380,False
4,0,12,441,False
5,1,1,458,True
5,1,2,555,True
5,1,3,599,True
5,1,4,554,True
5,1,5,582,True
5,1,6,528,True
5,1,7,559,True
5,1,8,518,True
5,1,9,512,True
5,1,10,520,True
5,1,11,506,True
5,1,12,502,True
6,6,1,479,True
6,6,2,433,True
6,6,3,483,True
6,6,4,484,True
6,6,5,428,True
6,6,6,467,True
6,6,7,515,True
6,6,8,518,True
6,6,9,496,True
6,6,10,531,True
6,6,11,452,True
6,6,12,521,True
7,3,1,473,True
7,3,2,457,True
7,3,3,496,True
7,3,4,546,True
7,3,5,565,True
7,3,6,537,True
7,3,7,533,True
7,3,8,501,True
7,3,9,494,True
7,3,10,532,True
7,3,11,480,True
7,3,12,468,True
8,10,1,476,True
8,10,2,517,True
8,10,3,476,True
8,10,4,447,True
8,10,5,428,True
8,10,6,430,True
8,10,7,407,True
8,10,8,406,True
8,10,9,429,True
8,10,10,395,True
8,10,11,494,True
8,10,12,489,True
9,0,1,506,False
9,0,2,481,False
9,0,3,464,False
9,0,4,437,False
9,0,5,441,False
9,0,6,440,False
9,0,7,435,False
9,0,8,436,False
9,0,9,457,False
9,0,10,388,False
9,0,11,404,False
9,0,12,364,False
10,0,1,515,False
10,0,2,523,False
10,0,3,418,False
10,0,4,447,False
10,0,5,480,False
10,0,6,410,False
10,0,7,438,False
10,0,8,425,False
10,0,9,389,False
10,0,10,407,False
10,0,11,391,False
10,0,12,371,False
11,11,1,491,True
11,11,2,432,True
11,11,3,464,True
11,11,4,469,True
11,11,5,457,True
11,11,6,448,True
11,11,7,437,True
11,11,8,437,True
11,11,9,429,True
11,11,10,395,True
11,11,11,376,True
11,11,12,500,True
12,6,1,501,True
12,6,2,476,True
12,6,3,478,True
12,6,4,474,True
12,6,5,426,True
12,6,6,456,True
12,6,7,538,True
12,6,8,522,True
12,6,9,544,True
12,6,10,527,True
12,6,11,495,True
12,6,12,466,True
13,0,1,450,False
13,0,2,467,False
13,0,3,476,False
13,0,4,451,False
13,0,5,454,False
13,0,6,442,False
13,0,7,445,False
13,0,8,396,False
13,0,9,420,False
13,0,10,405,False
13,0,11,408,False
13,0,12,390,False
14,9,1,474,True
14,9,2,459,True
14,9,3,486,True
14,9,4,485,True
14,9,5,472,True
14,9,6,441,True
14,9,7,448,True
14,9,8,389,True
14,9,9,422,True
14,9,10,516,True
14,9,11,490,True
14,9,12,490,True
15,11,1,517,True
15,11,2,473,True
15,11,3,449,True
15,11,4,438,True
15,11,5,463,True
15,11,6,380,True
15,11,7,463,True
15,11,8,420,True
15,11,9,452,True
15,11,10,375,True
15,11,11,369,True
15,11,12,482,True
16,3,1,495,True
16,3,2,498,True
16,3,3,462,True
16,3,4,526,True
16,3,5,571,True
16,3,6,556,True
16,3,7,520,True
16,3,8,495,True
16,3,9,500,True
16,3,10,507,True
16,3,11,506,True
16,3,12,487,True
17,7,1,515,True
17,7,2,459,True
17,7,3,514,True
17,7,4,413,True
17,7,5,477,True
17,7,6,400,True
17,7,7,458,True
17,7,8,520,True
17,7,9,483,True
17,7,10,483,True
17,7,11,532,True
17,7,12,522,True
18,8,1,456,True
18,8,2,465,True
18,8,3,438,True
18,8,4,477,True
18,8,5,427,True
18,8,6,418,True
18,8,7,420,True
18,8,8,411,True
18,8,9,550,True
18,8,10,501,True
18,8,11,465,True
18,8,12,480,True
19,2,1,500,True
19,2,2,511,True
19,2,3,600,True
19,2,4,580,True
19,2,5,592,True
19,2,6,576,True
19,2,7,524,True
19,2,8,541,True
19,2,9,509,True
19,2,10,526,True
19,2,11,490,True
19,2,12,521,True
20,4,1,541,True
20,4,2,501,True
20,4,3,517,True
20,4,4,406,True
20,4,5,586,True
20,4,6,553,True
20,4,7,552,True
20,4,8,504,True
20,4,9,470,True
20,4,10,535,True
20,4,11,460,True
20,4,12,492,True
21,0,1,484,False
21,0,2,493,False
21,0,3,478,False
21,0,4,449,False
21,0,5,456,False
21,0,6,418,False
21,0,7,460,False
21,0,8,396,False
21,0,9,387,False
21,0,10,362,False
21,0,11,412,False
21,0,12,368,False
22,8,1,490,True
22,8,2,469,True
22,8,3,473,True
22,8,4,453,True
22,8,5,430,True
