ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos
220707,SAN MARTIN,PICOTA,SAN HILARION,43.0,3.0
220201,SAN MARTIN,BELLAVISTA,BELLAVISTA,483.0,8.0
220706,SAN MARTIN,PICOTA,SAN CRISTOBAL,24.0,1.0
220708,SAN MARTIN,PICOTA,SHAMBOYACU,37.0,5.0
220709,SAN MARTIN,PICOTA,TINGO DE PONASA,86.0,5.0
220701,SAN MARTIN,PICOTA,PICOTA,320.0,4.0
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,1.0,4.0
060501,CAJAMARCA,CONTUMAZA,CONTUMAZA,34.0,6.0
060502,CAJAMARCA,CONTUMAZA,CHILETE,189.0,2.0
060507,CAJAMARCA,CONTUMAZA,TANTARICA,79.0,1.0
060508,CAJAMARCA,CONTUMAZA,YONAN,102.0,5.0
130107,LA LIBERTAD,TRUJILLO,MOCHE,225.0,7.0
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,356.0,22.0
130104,LA LIBERTAD,TRUJILLO,HUANCHACO,393.0,8.0
130109,LA LIBERTAD,TRUJILLO,SALAVERRY,63.0,3.0
130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,6.0,6.0
130201,LA LIBERTAD,ASCOPE,ASCOPE,240.0,2.0
130202,LA LIBERTAD,ASCOPE,CHICAMA,109.0,4.0
130203,LA LIBERTAD,ASCOPE,CHOCOPE,70.0,3.0
130205,LA LIBERTAD,ASCOPE,PAIJAN,1290.0,3.0
131101,LA LIBERTAD,GRAN CHIMU,CASCAS,10.0,5.0
131201,LA LIBERTAD,VIRU,VIRU,361.0,12.0
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,2.0,11.0
010307,AMAZONAS,BONGARA,JAZAN,3.0,6.0
010306,AMAZONAS,BONGARA,FLORIDA,1.0,4.0
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,117.0,7.0
010204,AMAZONAS,BAGUA,EL PARCO,10.0,3.0
010201,AMAZONAS,BAGUA,BAGUA,949.0,11.0
010206,AMAZONAS,BAGUA,LA PECA,43.0,6.0
010202,AMAZONAS,BAGUA,ARAMANGO,49.0,19.0
010205,AMAZONAS,BAGUA,IMAZA,155.0,40.0
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,61.0,24.0
160502,LORETO,REQUENA,ALTO TAPICHE,3.0,3.0
160503,LORETO,REQUENA,CAPELO,42.0,2.0
160504,LORETO,REQUENA,EMILIO SAN MARTIN,73.0,2.0
160505,LORETO,REQUENA,MAQUIA,20.0,10.0
160506,LORETO,REQUENA,PUINAHUA,1.0,4.0
160507,LORETO,REQUENA,SAQUENA,7.0,4.0
160508,LORETO,REQUENA,SOPLIN,1.0,2.0
160101,LORETO,MAYNAS,IQUITOS,4386.0,17.0
160102,LORETO,MAYNAS,ALTO NANAY,40.0,4.0
160103,LORETO,MAYNAS,FERNANDO LORES,437.0,12.0
160305,LORETO,LORETO,URARINAS,297.0,7.0
160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,402.0,8.0
160402,LORETO,MARISCAL RAMON CASTILLA,PEBAS,63.0,8.0
160403,LORETO,MARISCAL RAMON CASTILLA,YAVARI,19.0,5.0
160404,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,36.0,5.0
160501,LORETO,REQUENA,REQUENA,188.0,5.0
160509,LORETO,REQUENA,TAPICHE,4.0,2.0
160510,LORETO,REQUENA,JENARO HERRERA,250.0,1.0
160511,LORETO,REQUENA,YAQUERANA,7.0,2.0
160605,LORETO,UCAYALI,SARAYACU,339.0,13.0
160606,LORETO,UCAYALI,VARGAS GUERRA,27.0,1.0
160701,LORETO,DATEM DEL MARAÑON,BARRANCA,467.0,7.0
160703,LORETO,DATEM DEL MARAÑON,MANSERICHE,128.0,9.0
160705,LORETO,DATEM DEL MARAÑON,PASTAZA,8.0,9.0
220603,SAN MARTIN,MARISCAL CACERES,HUICUNGO,115.0,6.0
220604,SAN MARTIN,MARISCAL CACERES,PACHIZA,41.0,7.0
220401,SAN MARTIN,HUALLAGA,SAPOSOA,134.0,11.0
220912,SAN MARTIN,SAN MARTIN,SAN ANTONIO,25.0,3.0
220103,SAN MARTIN,MOYOBAMBA,HABANA,4.0,1.0
220705,SAN MARTIN,PICOTA,PUCACACA,30.0,2.0
220205,SAN MARTIN,BELLAVISTA,SAN PABLO,29.0,6.0
220704,SAN MARTIN,PICOTA,PILLUANA,4.0,2.0
220710,SAN MARTIN,PICOTA,TRES UNIDOS,8.0,1.0
220304,SAN MARTIN,EL DORADO,SANTA ROSA,37.0,6.0
220702,SAN MARTIN,PICOTA,BUENOS AIRES,27.0,4.0
220913,SAN MARTIN,SAN MARTIN,SAUCE,57.0,2.0
220902,SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,1.0,2.0
220301,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,273.0,5.0
220908,SAN MARTIN,SAN MARTIN,JUAN GUERRA,137.0,2.0
220511,SAN MARTIN,LAMAS,ZAPATERO,17.0,11.0
220305,SAN MARTIN,EL DORADO,SHATOJA,13.0,2.0
220914,SAN MARTIN,SAN MARTIN,SHAPAJA,45.0,1.0
220505,SAN MARTIN,LAMAS,CUÑUMBUQUI,39.0,6.0
220904,SAN MARTIN,SAN MARTIN,CHAZUTA,99.0,8.0
220402,SAN MARTIN,HUALLAGA,ALTO SAPOSOA,26.0,3.0
220909,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,1550.0,9.0
220910,SAN MARTIN,SAN MARTIN,MORALES,1391.0,2.0
220303,SAN MARTIN,EL DORADO,SAN MARTIN,40.0,5.0
220901,SAN MARTIN,SAN MARTIN,TARAPOTO,2401.0,8.0
220903,SAN MARTIN,SAN MARTIN,CACATACHI,85.0,1.0
220501,SAN MARTIN,LAMAS,LAMAS,213.0,5.0
220507,SAN MARTIN,LAMAS,RUMISAPA,54.0,5.0
220509,SAN MARTIN,LAMAS,SHANAO,75.0,1.0
220510,SAN MARTIN,LAMAS,TABALOSOS,132.0,4.0
220502,SAN MARTIN,LAMAS,ALONSO DE ALVARADO,13.0,5.0
220905,SAN MARTIN,SAN MARTIN,CHIPURANA,8.0,3.0
220504,SAN MARTIN,LAMAS,CAYNARACHI,238.0,9.0
220911,SAN MARTIN,SAN MARTIN,PAPAPLAYA,10.0,6.0
220503,SAN MARTIN,LAMAS,BARRANQUITA,97.0,7.0
220105,SAN MARTIN,MOYOBAMBA,SORITOR,59.0,5.0
220506,SAN MARTIN,LAMAS,PINTO RECODO,29.0,8.0
220906,SAN MARTIN,SAN MARTIN,EL PORVENIR,11.0,2.0
220808,SAN MARTIN,RIOJA,YORONGOS,3.0,2.0
220104,SAN MARTIN,MOYOBAMBA,JEPELACIO,20.0,10.0
220508,SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,15.0,5.0
220801,SAN MARTIN,RIOJA,RIOJA,130.0,7.0
220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,757.0,23.0
220102,SAN MARTIN,MOYOBAMBA,CALZADA,13.0,2.0
220803,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,130.0,6.0
220804,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,219.0,12.0
220806,SAN MARTIN,RIOJA,POSIC,6.0,1.0
220106,SAN MARTIN,MOYOBAMBA,YANTALO,25.0,1.0
220809,SAN MARTIN,RIOJA,YURACYACU,10.0,1.0
220807,SAN MARTIN,RIOJA,SAN FERNANDO,17.0,2.0
220802,SAN MARTIN,RIOJA,AWAJUN,3.0,4.0
220805,SAN MARTIN,RIOJA,PARDO MIGUEL,6.0,8.0
060808,CAJAMARCA,JAEN,PUCARA,108.0,2.0
060602,CAJAMARCA,CUTERVO,CALLAYUC,9.0,18.0
060812,CAJAMARCA,JAEN,SANTA ROSA,7.0,6.0
140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,119.0,7.0
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,448.0,15.0
140102,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,18.0,4.0
140110,LAMBAYEQUE,CHICLAYO,OYOTUN,3.0,5.0
140111,LAMBAYEQUE,CHICLAYO,PICSI,1.0,2.0
140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,16.0,3.0
140117,LAMBAYEQUE,CHICLAYO,PATAPO,458.0,3.0
140118,LAMBAYEQUE,CHICLAYO,POMALCA,27.0,3.0
140119,LAMBAYEQUE,CHICLAYO,PUCALA,384.0,1.0
140120,LAMBAYEQUE,CHICLAYO,TUMAN,1464.0,1.0
140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,652.0,2.0
140204,LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,1.0,1.0
140205,LAMBAYEQUE,FERREÑAFE,PITIPO,317.0,10.0
140206,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,20.0,3.0
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,14.0,6.0
140302,LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,2.0,1.0
140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,133.0,3.0
140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,51.0,4.0
140306,LAMBAYEQUE,LAMBAYEQUE,MORROPE,7.0,21.0
140307,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,780.0,6.0
140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,843.0,20.0
140303,LAMBAYEQUE,LAMBAYEQUE,ILLIMO,152.0,3.0
140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,7.0,2.0
140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,72.0,10.0
140311,LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,1.0,4.0
140312,LAMBAYEQUE,LAMBAYEQUE,TUCUME,5.0,7.0
200605,PIURA,SULLANA,MARCAVELICA,1093.0,10.0
200608,PIURA,SULLANA,SALITRAL,307.0,2.0
200507,PIURA,PAITA,VICHAYAL,26.0,3.0
200502,PIURA,PAITA,AMOTAPE,1.0,2.0
200304,PIURA,HUANCABAMBA,HUARMACA,13.0,21.0
200801,PIURA,SECHURA,SECHURA,526.0,8.0
200804,PIURA,SECHURA,CRISTO NOS VALGA,12.0,2.0
200806,PIURA,SECHURA,RINCONADA LLICUAR,25.0,1.0
200803,PIURA,SECHURA,BERNAL,76.0,1.0
200802,PIURA,SECHURA,BELLAVISTA DE LA UNION,56.0,2.0
200108,PIURA,PIURA,EL TALLAN,14.0,2.0
200306,PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,71.0,9.0
200302,PIURA,HUANCABAMBA,CANCHAQUE,12.0,7.0
200308,PIURA,HUANCABAMBA,SONDORILLO,3.0,6.0
200109,PIURA,PIURA,LA ARENA,655.0,8.0
200406,PIURA,MORROPON,SALITRAL,1534.0,5.0
200107,PIURA,PIURA,CURA MORI,698.0,4.0
200805,PIURA,SECHURA,VICE,196.0,5.0
200307,PIURA,HUANCABAMBA,SONDOR,2.0,4.0
200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,799.0,3.0
200110,PIURA,PIURA,LA UNION,458.0,6.0
110112,ICA,ICA,SUBTANJALLA,1131.0,6.0
110113,ICA,ICA,TATE,109.0,4.0
110101,ICA,ICA,ICA,4291.0,11.0
110503,ICA,PISCO,HUMAY,11.0,4.0
110504,ICA,PISCO,INDEPENDENCIA,18.0,6.0
110505,ICA,PISCO,PARACAS,60.0,3.0
110506,ICA,PISCO,SAN ANDRES,74.0,2.0
110507,ICA,PISCO,SAN CLEMENTE,790.0,3.0
110508,ICA,PISCO,TUPAC AMARU INCA,647.0,3.0
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,1.0,14.0
130703,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,1.0,2.0
130704,LA LIBERTAD,PACASMAYO,PACASMAYO,8.0,2.0
130705,LA LIBERTAD,PACASMAYO,SAN JOSE,3.0,3.0
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,1.0,4.0
130208,LA LIBERTAD,ASCOPE,CASA GRANDE,1266.0,4.0
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,51.0,4.0
130702,LA LIBERTAD,PACASMAYO,GUADALUPE,158.0,6.0
131202,LA LIBERTAD,VIRU,CHAO,200.0,7.0
131203,LA LIBERTAD,VIRU,GUADALUPITO,3.0,1.0
130106,LA LIBERTAD,TRUJILLO,LAREDO,1897.0,4.0
250201,UCAYALI,ATALAYA,RAYMONDI,870.0,16.0
250401,UCAYALI,PURUS,PURUS,1.0,8.0
250203,UCAYALI,ATALAYA,TAHUANIA,88.0,6.0
250204,UCAYALI,ATALAYA,YURUA,3.0,3.0
250103,UCAYALI,CORONEL PORTILLO,IPARIA,3.0,17.0
250301,UCAYALI,PADRE ABAD,PADRE ABAD,754.0,15.0
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,8.0,2.0
250302,UCAYALI,PADRE ABAD,IRAZOLA,125.0,7.0
250104,UCAYALI,CORONEL PORTILLO,MASISEA,59.0,21.0
250304,UCAYALI,PADRE ABAD,NESHUYA,45.0,8.0
250303,UCAYALI,PADRE ABAD,CURIMANA,187.0,6.0
250107,UCAYALI,CORONEL PORTILLO,MANANTAY,3249.0,13.0
250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,3115.0,24.0
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,6212.0,32.0
150108,LIMA,LIMA,CHORRILLOS,12.0,19.0
