Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
74,a,FIND,631,true,Homepage Version 4 - Help   •   http://www.lib.montana.edu/index4.php
66,input,s.q,364,true,"created 5-29-2013   •   20 days 4 hours 59 mins   •   3180 visits, 1717 clicks"
72,a,lib.montana.edu/find/,139,true
133,area,Montana State University - Home,122,false
83,a,REQUEST,72,true
103,a,Hours,68,true
67,button,Search,59,true
92,a,HELP,38,true
101,a,News,26,true
127,a,Contact Us,17,true
81,a,lib.montana.edu/request/,15,true
35,a,slideshow-right,14,true
69,a,Advanced Search,14,true
6,a,Ask A Librarian,10,true
55,span,nav-item-dot,10,true
105,a,Twitter,9,true
134,a,slideshow-left,8,false
135,a,Tip of the Week: Submit a Request for the Library to Pu,8,false
90,a,lib.montana.edu/interact/,7,true
68,div,Advanced Search,6,true
112,a,6/17 Library Workshop: EndNote Web Basics,6,true
124,a,About MSU Library,6,true
65,form,Search,5,true
15,div,"Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Film",4,true
45,a,nav-item,4,true
59,div,"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,",4,true
78,p,"Find research materials, including articles, books, databases, journals, and course reserves",4,true
8,div,logo-ikd,3,true
11,div,.,3,true
41,a,nav-item,3,true
132,a,Site Index & Site Search,3,true
1,div,Ask A Librarian,2,true
5,div,Ask A Librarian,2,true
20,div,Montana State University Historical Photographs,2,true
23,div,Indian Peoples of the Northern Great Plains,2,true
49,a,nav-item,2,true
53,a,nav-item,2,true
61,div,logo,2,true
110,a,6/17 Library Workshop: Zotero Basics,2,true
118,a,Twitter,2,true
2,div,Ask A Librarian,1,true
3,img,Montana State University in Bozeman,1,true
17,p,Science & Natural History Filmmaking Archive,1,true
26,p,Meet with a librarian for help with your research topic,1,true
51,span,nav-item-dot,1,true
63,img,label for catsearch,1,true
84,div,triangle-l,1,true
87,p,"Request resources and services, including group study rooms, laptops, documents, and books",1,true
106,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,true
107,li,News,1,true
116,a,New Database: Access World News,1,true
120,a,YouTube,1,true
121,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,1,true
128,a,Privacy Policy,1,true
130,a,Mobile Site,1,true
136,div,montana.summon.serialssolutions.com/advanced/,1,false
137,img,s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png,1,false
