,user_id,signup_month,month,spend,treatment
0,0,8,1,511,True
1,0,8,2,471,True
2,0,8,3,465,True
3,0,8,4,479,True
4,0,8,5,429,True
5,0,8,6,409,True
6,0,8,7,407,True
7,0,8,8,418,True
8,0,8,9,511,True
9,0,8,10,497,True
10,0,8,11,451,True
11,0,8,12,483,True
12,1,0,1,467,False
13,1,0,2,486,False
14,1,0,3,440,False
15,1,0,4,409,False
16,1,0,5,435,False
17,1,0,6,455,False
18,1,0,7,441,False
19,1,0,8,400,False
20,1,0,9,433,False
21,1,0,10,370,False
22,1,0,11,379,False
23,1,0,12,384,False
24,2,0,1,484,False
25,2,0,2,476,False
26,2,0,3,446,False
27,2,0,4,424,False
28,2,0,5,468,False
29,2,0,6,429,False
30,2,0,7,460,False
31,2,0,8,407,False
32,2,0,9,433,False
33,2,0,10,412,False
34,2,0,11,378,False
35,2,0,12,400,False
36,3,2,1,489,True
37,3,2,2,453,True
38,3,2,3,557,True
39,3,2,4,544,True
40,3,2,5,512,True
41,3,2,6,542,True
42,3,2,7,517,True
43,3,2,8,483,True
44,3,2,9,503,True
45,3,2,10,502,True
46,3,2,11,489,True
47,3,2,12,487,True
48,4,0,1,492,False
49,4,0,2,493,False
50,4,0,3,465,False
51,4,0,4,499,False
52,4,0,5,465,False
53,4,0,6,473,False
54,4,0,7,411,False
55,4,0,8,401,False
56,4,0,9,433,False
57,4,0,10,390,False
58,4,0,11,380,False
59,4,0,12,441,False
60,5,1,1,458,True
61,5,1,2,555,True
62,5,1,3,599,True
63,5,1,4,554,True
64,5,1,5,582,True
65,5,1,6,528,True
66,5,1,7,559,True
67,5,1,8,518,True
68,5,1,9,512,True
69,5,1,10,520,True
70,5,1,11,506,True
71,5,1,12,502,True
72,6,6,1,479,True
73,6,6,2,433,True
74,6,6,3,483,True
75,6,6,4,484,True
76,6,6,5,428,True
77,6,6,6,467,True
78,6,6,7,515,True
79,6,6,8,518,True
80,6,6,9,496,True
81,6,6,10,531,True
82,6,6,11,452,True
83,6,6,12,521,True
84,7,3,1,473,True
85,7,3,2,457,True
86,7,3,3,496,True
87,7,3,4,546,True
88,7,3,5,565,True
89,7,3,6,537,True
90,7,3,7,533,True
91,7,3,8,501,True
92,7,3,9,494,True
93,7,3,10,532,True
94,7,3,11,480,True
95,7,3,12,468,True
96,8,10,1,476,True
97,8,10,2,517,True
98,8,10,3,476,True
99,8,10,4,447,True
100,8,10,5,428,True
101,8,10,6,430,True
102,8,10,7,407,True
103,8,10,8,406,True
104,8,10,9,429,True
105,8,10,10,395,True
106,8,10,11,494,True
107,8,10,12,489,True
108,9,0,1,506,False
109,9,0,2,481,False
110,9,0,3,464,False
111,9,0,4,437,False
112,9,0,5,441,False
113,9,0,6,440,False
114,9,0,7,435,False
115,9,0,8,436,False
116,9,0,9,457,False
117,9,0,10,388,False
118,9,0,11,404,False
119,9,0,12,364,False
120,10,0,1,515,False
121,10,0,2,523,False
122,10,0,3,418,False
123,10,0,4,447,False
124,10,0,5,480,False
125,10,0,6,410,False
126,10,0,7,438,False
127,10,0,8,425,False
128,10,0,9,389,False
129,10,0,10,407,False
130,10,0,11,391,False
131,10,0,12,371,False
132,11,11,1,491,True
133,11,11,2,432,True
134,11,11,3,464,True
135,11,11,4,469,True
136,11,11,5,457,True
137,11,11,6,448,True
138,11,11,7,437,True
139,11,11,8,437,True
140,11,11,9,429,True
141,11,11,10,395,True
142,11,11,11,376,True
143,11,11,12,500,True
144,12,6,1,501,True
145,12,6,2,476,True
146,12,6,3,478,True
147,12,6,4,474,True
148,12,6,5,426,True
149,12,6,6,456,True
150,12,6,7,538,True
151,12,6,8,522,True
152,12,6,9,544,True
153,12,6,10,527,True
154,12,6,11,495,True
155,12,6,12,466,True
156,13,0,1,450,False
157,13,0,2,467,False
158,13,0,3,476,False
159,13,0,4,451,False
160,13,0,5,454,False
161,13,0,6,442,False
162,13,0,7,445,False
163,13,0,8,396,False
164,13,0,9,420,False
165,13,0,10,405,False
166,13,0,11,408,False
167,13,0,12,390,False
168,14,9,1,474,True
169,14,9,2,459,True
170,14,9,3,486,True
171,14,9,4,485,True
172,14,9,5,472,True
173,14,9,6,441,True
174,14,9,7,448,True
175,14,9,8,389,True
176,14,9,9,422,True
177,14,9,10,516,True
178,14,9,11,490,True
179,14,9,12,490,True
180,15,11,1,517,True
181,15,11,2,473,True
182,15,11,3,449,True
183,15,11,4,438,True
184,15,11,5,463,True
185,15,11,6,380,True
186,15,11,7,463,True
187,15,11,8,420,True
188,15,11,9,452,True
189,15,11,10,375,True
190,15,11,11,369,True
191,15,11,12,482,True
192,16,3,1,495,True
193,16,3,2,498,True
194,16,3,3,462,True
195,16,3,4,526,True
196,16,3,5,571,True
197,16,3,6,556,True
198,16,3,7,520,True
199,16,3,8,495,True
200,16,3,9,500,True
201,16,3,10,507,True
202,16,3,11,506,True
203,16,3,12,487,True
204,17,7,1,515,True
205,17,7,2,459,True
206,17,7,3,514,True
207,17,7,4,413,True
208,17,7,5,477,True
209,17,7,6,400,True
210,17,7,7,458,True
211,17,7,8,520,True
212,17,7,9,483,True
213,17,7,10,483,True
214,17,7,11,532,True
215,17,7,12,522,True
216,18,8,1,456,True
217,18,8,2,465,True
218,18,8,3,438,True
219,18,8,4,477,True
220,18,8,5,427,True
221,18,8,6,418,True
222,18,8,7,420,True
223,18,8,8,411,True
224,18,8,9,550,True
225,18,8,10,501,True
226,18,8,11,465,True
227,18,8,12,480,True
228,19,2,1,500,True
229,19,2,2,511,True
230,19,2,3,600,True
231,19,2,4,580,True
232,19,2,5,592,True
233,19,2,6,576,True
234,19,2,7,524,True
235,19,2,8,541,True
236,19,2,9,509,True
237,19,2,10,526,True
238,19,2,11,490,True
239,19,2,12,521,True
240,20,4,1,541,True
241,20,4,2,501,True
242,20,4,3,517,True
243,20,4,4,406,True
244,20,4,5,586,True
245,20,4,6,553,True
246,20,4,7,552,True
247,20,4,8,504,True
248,20,4,9,470,True
249,20,4,10,535,True
250,20,4,11,460,True
251,20,4,12,492,True
252,21,0,1,484,False
253,21,0,2,493,False
254,21,0,3,478,False
255,21,0,4,449,False
256,21,0,5,456,False
257,21,0,6,418,False
258,21,0,7,460,False
259,21,0,8,396,False
260,21,0,9,387,False
261,21,0,10,362,False
262,21,0,11,412,False
263,21,0,12,368,False
264,22,8,1,490,True
265,22,8,2,469,True
266,22,8,3,473,True
267,22,8,4,453,True
268,22,8,5,430,True
269,22,8,6,407,True
270,22,8,7,451,True
271,22,8,8,415,True
272,22,8,9,484,True
273,22,8,10,502,True
274,22,8,11,521,True
275,22,8,12,529,True
276,23,0,1,484,False
277,23,0,2,500,False
278,23,0,3,483,False
279,23,0,4,421,False
280,23,0,5,446,False
281,23,0,6,454,False
282,23,0,7,439,False
283,23,0,8,426,False
284,23,0,9,429,False
285,23,0,10,400,False
286,23,0,11,388,False
287,23,0,12,367,False
288,24,0,1,498,False
289,24,0,2,463,False
290,24,0,3,515,False
291,24,0,4,477,False
292,24,0,5,441,False
293,24,0,6,407,False
294,24,0,7,464,False
295,24,0,8,404,False
296,24,0,9,394,False
297,24,0,10,390,False
298,24,0,11,386,False
299,24,0,12,339,False
300,25,0,1,486,False
301,25,0,2,483,False
302,25,0,3,486,False
303,25,0,4,445,False
304,25,0,5,434,False
305,25,0,6,428,False
306,25,0,7,429,False
307,25,0,8,413,False
308,25,0,9,408,False
309,25,0,10,372,False
310,25,0,11,351,False
311,25,0,12,396,False
312,26,0,1,519,False
313,26,0,2,530,False
314,26,0,3,447,False
315,26,0,4,469,False
316,26,0,5,447,False
317,26,0,6,423,False
318,26,0,7,405,False
319,26,0,8,407,False
320,26,0,9,388,False
321,26,0,10,422,False
322,26,0,11,409,False
323,26,0,12,426,False
324,27,0,1,495,False
325,27,0,2,508,False
326,27,0,3,500,False
327,27,0,4,448,False
328,27,0,5,447,False
329,27,0,6,446,False
330,27,0,7,421,False
331,27,0,8,401,False
332,27,0,9,393,False
333,27,0,10,431,False
334,27,0,11,366,False
335,27,0,12,407,False
336,28,3,1,510,True
337,28,3,2,460,True
338,28,3,3,433,True
339,28,3,4,558,True
340,28,3,5,539,True
