1;1401;261;699;1;Alpnach;Obwalden;Zürich;Zürich;;46.9380412,8.2701754;47.3768866,8.541694
2;1507;261;712;1;Hergiswil (NW);Nidwalden;Zürich;Zürich;;46.9905821,8.3083735;47.3768866,8.541694
3;3943;261;1347;1;Mastrils;Graubünden;Zürich;Zürich;;46.96628,9.54229;47.3768866,8.541694
4;5236;261;1802;1;Collina d'Oro;Tessin;Zürich;Zürich;;45.9821607,8.917103;47.3768866,8.541694
5;5192;261;1837;1;Lugano;Tessin;Zürich;Zürich;;46.0036778,8.951052;47.3768866,8.541694
6;5606;261;2119;1;Lutry;Waadt;Zürich;Zürich;;46.5088803,6.6827638;47.3768866,8.541694
7;5611;261;2228;1;Savigny;Waadt;Zürich;Zürich;;46.5383864,6.7321079;47.3768866,8.541694
8;5890;261;2258;1;Vevey;Waadt;Zürich;Zürich;;46.4628333,6.8419192;47.3768866,8.541694
9;6645;261;2529;1;Veyrier;Genf;Zürich;Zürich;;46.1660489,6.178397;47.3768866,8.541694
10;2;112;6;21;Affoltern am Albis;Zürich;Bubikon;Bubikon;;47.2795081,8.4540083;47.2682174,8.8191356
11;9;25;91;25;Mettmenstetten;Zürich;Dachsen;Dachsen;;47.2437032,8.4628831;47.6660626,8.6160024
12;2903;25;1142;25;Löhningen;Schaffhausen;Dachsen;Dachsen;;48.6592022,8.940526;47.6660626,8.6160024
13;2937;25;1144;25;Neuhausen am Rheinfall;Schaffhausen;Dachsen;Dachsen;;47.6837423,8.6126098;47.6660626,8.6160024
14;261;85;1;28;Zürich;Zürich;Dänikon;Dänikon;;47.3768866,8.541694;47.3052592,8.6915859
15;261;243;1;31;Zürich;Zürich;Dietikon;Dietikon;;47.3768866,8.541694;47.4053885,8.39977
16;5586;54;1914;32;Lausanne;Waadt;Dietlikon;Dietlikon;;46.5196535,6.6322734;47.4251986,8.6162283
17;261;217;1;39;Zürich;Zürich;Elgg;Elgg;;47.3768866,8.541694;47.4910721,8.8665461
18;217;217;39;39;Elgg;Zürich;Elgg;Elgg;;47.4910721,8.8665461;47.4910721,8.8665461
19;261;27;1;46;Zürich;Zürich;Feuerthalen;Feuerthalen;;47.3768866,8.541694;47.6885343,8.6497285
20;221;27;61;46;Hettlingen;Zürich;Feuerthalen;Feuerthalen;;47.5470158,8.7087902;47.6885343,8.6497285
21;9;27;91;46;Mettmenstetten;Zürich;Feuerthalen;Feuerthalen;;47.2437032,8.4628831;47.6885343,8.6497285
22;261;29;1;49;Zürich;Zürich;Flurlingen;Flurlingen;;47.3768866,8.541694;47.685357,8.6294367
23;221;29;61;49;Hettlingen;Zürich;Flurlingen;Flurlingen;;47.5470158,8.7087902;47.685357,8.6294367
24;9;29;91;49;Mettmenstetten;Zürich;Flurlingen;Flurlingen;;47.2437032,8.4628831;47.685357,8.6294367
25;2903;29;1142;49;Löhningen;Schaffhausen;Flurlingen;Flurlingen;;48.6592022,8.940526;47.685357,8.6294367
26;2937;29;1144;49;Neuhausen am Rheinfall;Schaffhausen;Flurlingen;Flurlingen;;47.6837423,8.6126098;47.685357,8.6294367
27;57;57;50;50;Freienstein-Teufen;Zürich;Freienstein-Teufen;Freienstein-Teufen;;47.5313791,8.5851744;47.5313791,8.5851744
28;230;57;168;50;Winterthur;Zürich;Freienstein-Teufen;Freienstein-Teufen;;47.4988196,8.7236889;47.5313791,8.5851744
29;216;220;33;56;Dinhard;Zürich;Hagenbuch;Hagenbuch;;47.5551167,8.7695628;47.5213595,8.8890608
