1401,261,699,1,Alpnach,Obwalden,Zürich,Zürich,"Alpnach,Obwalden","Zürich,Zürich","46.9380412,8.2701754","47.3768866,8.541694",1
1507,261,712,1,Hergiswil (NW),Nidwalden,Zürich,Zürich,"Hergiswil (NW),Nidwalden","Zürich,Zürich","46.9905821,8.3083735","47.3768866,8.541694",2
3943,261,1347,1,Mastrils,Graubünden,Zürich,Zürich,"Mastrils,Graubünden","Zürich,Zürich","46.96628,9.54229","47.3768866,8.541694",3
5236,261,1802,1,Collina d'Oro,Tessin,Zürich,Zürich,"Collina d'Oro,Tessin","Zürich,Zürich","45.9821607,8.917103","47.3768866,8.541694",4
5192,261,1837,1,Lugano,Tessin,Zürich,Zürich,"Lugano,Tessin","Zürich,Zürich","46.0036778,8.951052","47.3768866,8.541694",5
5606,261,2119,1,Lutry,Waadt,Zürich,Zürich,"Lutry,Waadt","Zürich,Zürich","46.5088803,6.6827638","47.3768866,8.541694",6
5611,261,2228,1,Savigny,Waadt,Zürich,Zürich,"Savigny,Waadt","Zürich,Zürich","46.5383864,6.7321079","47.3768866,8.541694",7
5890,261,2258,1,Vevey,Waadt,Zürich,Zürich,"Vevey,Waadt","Zürich,Zürich","46.4628333,6.8419192","47.3768866,8.541694",8
6645,261,2529,1,Veyrier,Genf,Zürich,Zürich,"Veyrier,Genf","Zürich,Zürich","46.1660489,6.178397","47.3768866,8.541694",9
2,112,6,21,Affoltern am Albis,Zürich,Bubikon,Zürich,"Affoltern am Albis,Zürich","Bubikon,Zürich","47.2795081,8.4540083","47.2682174,8.8191356",10
9,25,91,25,Mettmenstetten,Zürich,Dachsen,Zürich,"Mettmenstetten,Zürich","Dachsen,Zürich","47.2437032,8.4628831","47.6660626,8.6160024",11
2903,25,1142,25,Löhningen,Schaffhausen,Dachsen,Zürich,"Löhningen,Schaffhausen","Dachsen,Zürich","47.7003,8.55296","47.6660626,8.6160024",12
2937,25,1144,25,Neuhausen am Rheinfall,Schaffhausen,Dachsen,Zürich,"Neuhausen am Rheinfall,Schaffhausen","Dachsen,Zürich","47.6837423,8.6126098","47.6660626,8.6160024",13
261,85,1,28,Zürich,Zürich,Dänikon,Zürich,"Zürich,Zürich","Dänikon,Zürich","47.3768866,8.541694","47.4458065,8.4051088",14
261,243,1,31,Zürich,Zürich,Dietikon,Zürich,"Zürich,Zürich","Dietikon,Zürich","47.3768866,8.541694","47.4053885,8.39977",15
