Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
69,a,FIND,587,true,Homepage Version 3 - Learn   •   http://www.lib.montana.edu/index3.php
61,input,s.q,325,true,"created 5-29-2013   •   20 days 12 hours 21 mins   •   2747 visits, 1652 clicks"
67,a,lib.montana.edu/find/,142,true
128,area,Montana State University - Home,83,false
98,a,Hours,76,true
78,a,REQUEST,63,true
62,button,Search,50,true
96,a,News,45,true
30,a,slideshow-right,35,true
64,a,Advanced Search,26,true
87,a,LEARN,21,true
76,a,lib.montana.edu/request/,20,true
50,span,nav-item-dot,13,true
60,form,Search,13,true
100,a,Twitter,10,true
119,a,About MSU Library,10,true
122,a,Contact Us,9,true
131,object,faUnit1,9,false
36,a,nav-item,8,true
85,a,lib.montana.edu/interact/,7,true
134,a,databases,7,false
6,a,Ask A Librarian,6,true
11,div,.,6,true
138,p,Renne: 7:00 am - 9:00 pm,6,false
29,a,slideshow-left,5,true
101,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,5,true
132,a,Tip of the Week: Submit a Request for the Library to Pu,5,false
9,div,". Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Fil",4,true
8,div,logo-ikd,3,true
38,span,nav-item-dot,3,true
40,a,nav-item,3,true
44,a,nav-item,3,true
46,span,nav-item-dot,3,true
54,div,"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,",3,true
127,a,Site Index & Site Search,3,true
137,p,Renne: 10:00 am - 9:00 pm,3,false
3,img,Montana State University in Bozeman,2,true
48,a,nav-item,2,true
55,div,Search Advanced Search,2,true
73,p,"Find research materials, including articles, books, databases, journals, and course reserves",2,true
116,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,2,true
130,div,TT_Close_Btn,2,false
15,p,Montana State University Historical Photographs,1,true
19,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,1,true
26,p,Call Us 406.994.3171,1,true
32,a,nav-item,1,true
34,span,nav-item-dot,1,true
42,span,nav-item-dot,1,true
56,div,logo,1,true
63,div,Advanced Search,1,true
105,a,6/17 Library Workshop: Zotero Basics,1,true
107,a,6/17 Library Workshop: EndNote Web Basics,1,true
118,a,MSU,1,true
121,a,Accessibility,1,true
125,a,Mobile Site,1,true
129,div,News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/4 Library Workshop,1,false
133,img,s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png,1,false
135,center,More Hours,1,false
136,div,montana.edu,1,false
139,center,"June 17, 2013",1,false
140,strong,"June 17, 2013",1,false
141,div,montana.summon.serialssolutions.com/advanced/,1,false
