DISTRITO,prec_min,prec_max,prec_mean,prec_std,pbi_per_capita,tasa_pobreza
CODO DEL POZUZO,1284.40087890625,4180.15283203125,3189.469951923077,759.4677437477388,9490.142459033697,36.6949079840401
TOURNAVISTA,1462.623779296875,2252.925048828125,1741.302001953125,204.0435877464225,7585.207096486446,44.654631191794124
ALEXANDER VON HUMBOLDT,1483.9390869140625,1793.65771484375,1638.79833984375,154.85931396485577,9943.065614302077,45.93525716184934
IRAZOLA,1937.849853515625,4112.1044921875,2646.98125,665.522128360554,12569.089569224076,16.567479601325466
NESHUYA,1708.3682861328125,2162.259521484375,1943.3514404296875,161.45492422386923,7297.5398758299925,21.86167189383208
PADRE ABAD,2471.299560546875,4653.1923828125,3396.698828125,520.1443516680841,7297.589129152459,-0.2515728833142532
CURIMANA,1888.2001953125,2914.509521484375,2249.673409598214,303.2963115562772,12737.638446522174,12.911949002557169
PUERTO INCA,1674.0633544921875,3355.52001953125,2348.258203125,476.581090285327,10302.304187458725,39.47277449646187
NUEVA REQUENA,1107.865478515625,2169.6962890625,1612.5600043402778,305.83025074411165,6591.576842195143,49.23374235322348
CAMPOVERDE,1426.9498291015625,1913.927490234375,1615.2926432291667,123.42889947305538,9627.680130757893,6.484766921801171
CONTAMANA,984.0640258789062,3642.236083984375,1849.2192708333334,627.7805671164558,6609.746921562613,16.113036112706588
HUANCHACO,3.716067314147949,6.3694939613342285,4.954594612121582,0.9955029610343034,6602.810739289229,24.603913645616096
SANTIAGO DE CAO,,,,,8725.886814698102,29.2024173822941
SIMBAL,19.42619514465332,119.8951644897461,57.2926139831543,38.14583655659834,2260.159266026606,12.855947201175308
MAGDALENA DE CAO,4.623356819152832,7.640544414520264,6.131950378417969,1.5085937976837347,2825.246502460902,31.360915666961347
CHOCOPE,3.1151862144470215,3.1151862144470215,3.1151862144470215,0.0,6313.137412277082,17.89240979393626
PAIJAN,4.561501979827881,4.561501979827881,4.561501979827881,0.0,4961.506638996729,24.783215936825812
SINSICAP,93.38580322265625,374.48992919921875,225.74017333984375,103.50705311538904,8942.74199778582,33.194263720055496
CHICAMA,3.6479175090789795,432.645263671875,93.0794906616211,144.1343646011268,5275.927773436368,25.096334047164067
RAZURI,9.019684791564941,9.019684791564941,9.019684791564941,0.0,3763.088895994126,18.45421164210147
MARMOT,454.1706848144531,601.2166748046875,527.6936645507812,73.52299499511876,12396.946306764661,23.355852941112538
ASCOPE,13.854079246520996,40.592628479003906,29.449228922526043,11.36078171846531,7322.671098540393,23.67455561191997
CASCAS,690.31103515625,721.8936157226562,706.102294921875,15.791290283232614,8202.584614063771,19.449834551768085
CASA GRANDE,3.0481929779052734,62.158348083496094,24.529696146647137,23.023526444057726,3725.75544135963,21.118059059993463
SAN BENITO,91.13331604003906,406.1954345703125,262.894775390625,135.51682752176922,6366.851826424452,48.979707557570755
SAN PEDRO DE LLOC,7.855528831481934,31.15217399597168,18.43463897705078,10.125371343393075,8332.767769129598,33.41379171911858
CUPISNIQUE,90.29888153076172,201.50408935546875,155.84600830078125,47.52774638526179,4547.0192677330915,20.567795229562595
CORONEL GREGORIO ALBARRACIN LANCHIPA,26.840646743774414,26.840646743774414,26.840646743774414,0.0,9127.094055037016,35.45431606766103
POCOLLAY,29.974895477294922,42.45490264892578,34.50836181640625,5.63763817948814,6198.083930243585,19.99270765365985
CALANA,,,,,7124.91875062017,42.596869563799615
TACNA,13.528853416442871,67.42636108398438,26.95562744140625,15.813203809311668,6194.880163311809,30.54463288297141
SAMA,13.614538192749023,18.509510040283203,14.937798394097221,1.4347493277370036,13556.834553526813,23.390467839936566
CIUDAD NUEVA,23.58119773864746,25.780038833618164,24.680618286132812,1.0994205474853516,7959.508325786198,31.715753887154165
ITE,6.145175933837891,15.683561325073242,9.860884530203682,3.14448266699834,4826.867213132298,1.4368577189725116
ILO,2.851372241973877,4.080556869506836,3.3222386042277017,0.5414149536719449,10467.634736309567,8.09848796635292
ALTO DE LA ALIANZA,21.096012115478516,51.268428802490234,30.525508880615234,12.07669261945709,4337.469050086933,7.091124904014169
PACHIA,25.802658081054688,266.87933349609375,103.0560302734375,91.10407596309301,8626.590785014267,27.144146421455602
ESTIQUE-PAMPA,189.56466674804688,189.56466674804688,189.56466674804688,0.0,2120.989628360673,50.987724992276384
ESTIQUE,80.77284240722656,257.3257141113281,169.04928588867188,88.27643585205111,4015.4418533047083,58.469502192889486
TARUCACHI,272.4508361816406,296.90350341796875,284.67718505859375,12.226333618173584,8590.583707607371,34.57076652161136
INCLAN,14.982848167419434,120.62055969238281,36.126818339029946,30.340154836958767,10215.399739986231,32.51266712416685
LOCUMBA,9.967159271240234,14.504263877868652,11.916683741978236,1.3911350912536653,8514.104843569912,-2.0158660122910845
EL ALGARROBAL,2.0411410331726074,4.95739221572876,3.3366893768310546,0.9919277105924923,7653.055152835278,16.859893003989676
PALCA,83.29850769042969,381.20458984375,243.6221923828125,105.4605626458205,7096.688913232134,13.183243721376417
HEROES ALBARRACIN,112.45561218261719,262.62103271484375,190.97943115234375,61.49762634029253,3564.4340288977182,15.68728602623326
CURIBAYA,93.25628662109375,171.3068084716797,132.28155517578125,39.025260925293715,5840.467374815874,22.477842721228157
SITAJARA,256.8685302734375,298.26361083984375,277.5660705566406,20.697540283203125,6618.0836871206375,17.91864133454309
QUILAHUANI,,,,,11171.366678656748,-4.689497155636815
PACOCHA,3.9370052814483643,11.724479675292969,7.830742359161377,3.893737196922304,9030.854868705384,36.21865384176301
TARATA,292.1437072753906,394.7743835449219,328.6783970424107,31.056256249258784,2710.879533911798,8.908854613902903
HUANUARA,204.46450805664062,204.46450805664062,204.46450805664062,0.0,8972.251908184386,28.588702961667245
TICACO,293.4743957519531,354.061279296875,323.9895426432292,24.736479148093323,6844.75315875105,56.111240046249605
ILABAYA,15.21198844909668,89.23237609863281,40.323875427246094,24.356949376580367,5969.233999082124,11.20923112620365
SAMEGUA,,,,,9835.028866522603,-12.954312841194948
PUNTA DE BOMBON,1.3188366889953613,3.8300769329071045,2.1446800231933594,0.8414400970708985,11092.998567487854,20.70993667179834
CAIRANI,131.30690002441406,312.894287109375,222.1005859375,90.7936935424808,10793.840357348596,41.51439452497857
SUSAPAYA,305.57745361328125,421.26519775390625,363.42132568359375,57.8438720703125,5482.3474303320845,54.37521181330891
DEAN VALDIVIA,3.7683682441711426,3.7683682441711426,3.7683682441711426,0.0,7072.362872446356,6.556756083213749
CAMILACA,153.93312072753906,394.227294921875,273.9807434082031,94.08458246434853,8993.790294210692,32.45048834854782
MEJIA,5.603732109069824,5.603732109069824,5.603732109069824,0.0,10926.635381367078,18.0203431482992
